,Author ID,Position,Country,Continent,Author name,Organization,Code,Region,Income group
30,6504156780,Co-author,ZAF,Africa,Mashige K.P.,"School of Health Sciences, University of KwaZulu-Natal",ZAF,Sub-Saharan Africa,Upper middle income
31,6504162014,Co-author,BWA,Africa,Makhema J.,The Botswana Harvard AIDS Institute Partnership,BWA,Sub-Saharan Africa,Upper middle income
32,6504163906,Co-author,AUS,Oceania,Volders E.,"Faculty Medicine, Nursing and Health Sciences, Monash University, Clayton, VIC",AUS,East Asia & Pacific,High income
33,6504164067,Co-author,MEX,North America,Vázquez-Rivera M.,National Institute of Pediatrics,MEX,Latin America & Caribbean,Upper middle income
34,6504164474,Co-author,USA,North America,Schramm-Sapyta N.,"Duke Institute of Brain Sciences, Duke University",USA,North America,High income
35,6504165458,Co-author,CAN,North America,Sicchia S.R.,"Dalla Lana School of Public Health, University of Toronto",CAN,North America,High income
36,6504169027,Co-author,DEU,Europe,Bleckwenn M.,"Department of General Practice, Faculty of Medicine, University of Leipzig, Philipp-Rosenthal-Str. 55",DEU,Europe & Central Asia,High income
37,6504181935,First Author,IND,Asia,Tallentire V.R.,Medical Education Directorate,IND,South Asia,Lower middle income
38,6504185344,Co-author,USA,North America,Logio L.S.,"Department of Medicine, Drexel University College of Medicine",USA,North America,High income
39,6504207651,Co-author,MYS,Asia,Baharuddin K.A.,"Department of Emergency Medicine, School of Medical Sciences",MYS,East Asia & Pacific,Upper middle income
40,6504209611,Co-author,IRN,Asia,Sohrabi Z.,"Center for Educational Research in Medical Sciences, CERMS, Department of Medical Education, School of Medicine, Iran University of Medical Sciences, IUMS",IRN,Middle East & North Africa,Upper middle income
41,6504209726,Co-author,NGA,Africa,Osungbade A.D.,"Department of Community Health, Obafemi Awolowo University",NGA,Sub-Saharan Africa,Lower middle income
42,6504212524,Co-author,CAN,North America,Walji R.,Canadian College of Naturopathic Medicine,CAN,North America,High income
43,6504216732,Co-author,ESP,Europe,Álvarez-Nieto C.,"Department of Nursing, Faculty of Health Sciences, University of Jaen",ESP,Europe & Central Asia,High income
44,6504242333,First Author,USA,North America,Barsuk J.H.,"Northwestern University Feinberg, School of Medicine",USA,North America,High income
45,6504243596,Co-author,USA,North America,Rawn L.,"Department of Medical Education, Center for Experiential Learning and Assessment, Vanderbilt University Medical Center, Baptist Health Neurosurgery Arkansas",USA,North America,High income
46,6504255945,Co-author,FIN,Europe,Tedre M.,University of Eastern Finland,FIN,Europe & Central Asia,High income
47,6504271865,Co-author,UGA,Africa,Oboke H.,"Faculty of Medicine, Gulu University",UGA,Sub-Saharan Africa,Low income
48,6504277656,Co-author,TUR,Asia,Batı A.H.,"Department of Medical Education, Social Accountability Working Group TEPDAD, Ege University School of Medicine",TUR,Europe & Central Asia,Upper middle income
49,6504303666,Co-author,BWA,Africa,Mosepele M.,University of Botswana,BWA,Sub-Saharan Africa,Upper middle income
50,6504317863,Co-author,DEU,Europe,Hollinderbäumer A.,"Institute of Medical Biostatistics, Epidemiology and Informatics, IMBEI, University Medical Centre, University of Mainz",DEU,Europe & Central Asia,High income
51,6504322013,Co-author,IDN,Asia,Emilia O.,"Department of Oral Medicine, Faculty of Dentistry, Universitas Gadjah Mada",IDN,East Asia & Pacific,Upper middle income
52,6504353034,Co-author,USA,North America,Shaahinfar A.,"Departments of Emergency Medicine and Pediatrics, University of California San Francisco Benioff Children’s Hospital, University of California, ED Trailer 3",USA,North America,High income
53,6504358622,Co-author,IRN,Asia,Khakpour S.,"Department of Physiology, Faculty of Medicine, Tehran Medical Sciences, Islamic Azad University of Medical Sciences",IRN,Middle East & North Africa,Upper middle income
54,6504360406,Co-author,CAN,North America,Tekanoff R.,"Community Programs, Urban Care Health Group, ON",CAN,North America,High income
55,6504360619,Co-author,USA,North America,Dreifuss B.A.,"Colleges of Medicine and Public Health, University of Arizona",USA,North America,High income
56,6504365070,Co-author,GBR,Europe,Savorani M.,"Health Service, Population Research Department, David Goldberg Centre, King's College London, Institute of Psychiatry, Psychology and Neuroscience, SE5 8AF",GBR,Europe & Central Asia,High income
57,6504365765,Co-author,CAN,North America,Murnaghan A.,"Department of Emergency Medicine, Faculty of Medicine, University of Ottawa",CAN,North America,High income
58,6504368726,Co-author,USA,North America,Kuelbs C.L.,"UC San Diego School of Medicine, Rady Children’s Hospital",USA,North America,High income
59,6504387804,Co-author,DEU,Europe,Strizek B.,"Department of Obstetrics and Prenatal Medicine, University Hospital Bonn",DEU,Europe & Central Asia,High income
60,6504389387,First Author,SAU,Asia,Bawazeer G.,"Department of Clinical Pharmacy, College of Pharmacy, King Saud University",SAU,Middle East & North Africa,High income
61,6504408558,Co-author,FRA,Europe,Lahutte B.,"Department of Psychiatry, Bégin National Military Teaching Hospital",FRA,Europe & Central Asia,High income
62,6504433436,Co-author,SAU,Asia,Bawazir O.,"Department of Surgery, Faculty of Medicine, Umm Al-Qura University",SAU,Middle East & North Africa,High income
63,6504448786,First Author,AUS,Oceania,Langendyk V.,"School of Medicine, University of Western Sydney",AUS,East Asia & Pacific,High income
64,6504449214,Co-author,SWE,Europe,Wihlborg J.,"School of Health and Welfare, Dalarna University",SWE,Europe & Central Asia,High income
65,6504456482,Co-author,USA,North America,Mishori R.,"Department of Family Medicine, Georgetown University School of Medicine",USA,North America,High income
66,6504461273,Co-author,HUN,Europe,Rendeki S.,"Medical Simulation Education Centre, University of Pécs, Medical School, Department of Operational Medicine, University of Pécs, Medical School",HUN,Europe & Central Asia,High income
67,6504464315,Co-author,USA,North America,Windover A.,"Center for Excellence in Healthcare Communication, Cleveland Clinic",USA,North America,High income
68,6504477786,Co-author,USA,North America,Alseidi A.,University of California,USA,North America,High income
69,6504506921,Co-author,FRA,Europe,Lebeaux D.,"University of Paris, Department of Microbiology, Mobile Infectiology Unit, Georges Pompidou European University Hospital, Assistance Publique",FRA,Europe & Central Asia,High income
70,6504525308,Co-author,GBR,Europe,Adebusoye L.A.,University College Hospital,GBR,Europe & Central Asia,High income
71,6504526861,Co-author,MWI,Africa,Chilemba E.,"University of Malawi, College of Nursing",MWI,Sub-Saharan Africa,Low income
72,6504531002,Co-author,CAN,North America,Saperson K.,"Department of Psychiatry and Behavioural Neurosciences, McMaster University",CAN,North America,High income
73,6504531328,Co-author,NOR,Europe,Salvesen Ø.,"Department of Clinical and Molecular Medicine, Norwegian University of Science and Technology, NTNU, P.O. Box 8905 MTFS",NOR,Europe & Central Asia,High income
74,6504534848,Co-author,ROU,Europe,Zaharie F.,"University of Medicine and Pharmacy, Surgery Department, Regional Institute of Gastroenterology and Hepatology",ROU,Europe & Central Asia,High income
75,6504535505,Co-author,HKG,Asia,Aswegan A.L.,Union Hospital,HKG,East Asia & Pacific,High income
76,6504540309,Co-author,MAR,Africa,Alami B.,"Clinical Neurosciences Laboratory, Pharmacy of Fez, Sidi Mohammed Ben Abdellah University",MAR,Middle East & North Africa,Lower middle income
77,6504557749,Co-author,IRN,Asia,Hatefnia E.,"Department of Health Promotion and Education, Social Determinants of Health Research Center, School of Health, Alborz University of Medical Sciences",IRN,Middle East & North Africa,Upper middle income
78,6504559060,Co-author,CMR,Africa,Bisseck A.C.,"Division of Health Operations Research, Cameroon Ministry of Public Health, National Agency for AIDS Research",CMR,Sub-Saharan Africa,Lower middle income
79,6504560643,Co-author,GBR,Europe,Dobel-Ober D.,"Research and Innovation Department, Midlands Partnership University NHS Foundation Trust, St George’s Hospital, Corporation Street, ST16 3AG",GBR,Europe & Central Asia,High income
80,6504563717,Co-author,DEU,Europe,Ernstmann N.,"Center for Health Communication and Health Services Research, Department of Psychosomatic Medicine and Psychotherapy, University Hospital, Chair of Health Services Research, Institute of Medical Sociology, Health Services Research, Rehabilitation Science, Faculty of Medicine, University Hospital Cologne, University of Cologne",DEU,Europe & Central Asia,High income
81,6504592203,Co-author,USA,North America,Gentilesco B.,"Warren Alpert Medical School, Brown University",USA,North America,High income
82,6504593280,Co-author,BGR,Europe,Firkova E.,"Department of Periodontology, Faculty of Dental Medicine",BGR,Europe & Central Asia,High income
83,6504600970,Co-author,IDN,Asia,Kristina T.N.,"Medical Education and Development Unit, Faculty of Medicine",IDN,East Asia & Pacific,Upper middle income
84,6504604885,Co-author,IRN,Asia,Golbakhsh M.R.,"Center of Orthopedic Trans-Disciplinary Applied Research, COTAR, School of Medicine, Tehran University of Medical Sciences",IRN,Middle East & North Africa,Upper middle income
85,6504609053,Co-author,SGP,Asia,Ngiam X.L.L.,National University of Singapore,SGP,East Asia & Pacific,High income
86,6504611791,First Author,NLD,Europe,Westein M.P.D.,"Department of Pharmaceutical Sciences, Utrecht University, Universiteitsweg 99, CG, Research in Education, Faculty of Medicine Vrije Universiteit, The Royal Dutch Pharmacists Association, KNMP",NLD,Europe & Central Asia,High income
87,6504635383,Co-author,CUB,North America,Carmenate J.,World Francophone Digital University,CUB,Latin America & Caribbean,Upper middle income
88,6504637090,First Author,PHL,Asia,Siega-Sur J.-L.,"School of Health Sciences, University of the Philippines",PHL,East Asia & Pacific,Lower middle income
89,6504641882,Co-author,USA,North America,Gannam S.,School of Medicine,USA,North America,High income
90,6504687714,Co-author,USA,North America,Poliandro E.,"Department of Medical Education, Icahn School of Medicine",USA,North America,High income
91,6504691167,Co-author,FRA,Europe,Ianotto J.-C.,"Department of Clinical Hematology, CHU de Brest, Brest University Medical School Hospital",FRA,Europe & Central Asia,High income
92,6504696727,Co-author,GBR,Europe,Prescott-Clements L.,University of Northumbria,GBR,Europe & Central Asia,High income
93,6504699848,Co-author,USA,North America,Goentzel J.,"the Humanitarian Response Lab, Center for Transportation and Logistics, Massachusetts Institute of Technology",USA,North America,High income
94,6504711658,First Author,SAU,Asia,Al Rumayyan A.R.,"Department of Pediatrics, King Abdullah Specialized Children's Hospital, College of Medicine, Abdulaziz University for Health Sciences, Ministry of National Guard - Health Affairs",SAU,Middle East & North Africa,High income
95,6504716230,Co-author,DNK,Europe,Lassesen B.,"Center for Teaching and Learning, School of Business and Social Science, Aarhus University",DNK,Europe & Central Asia,High income
96,6504716434,First Author,GBR,Europe,Isba R.,"Lancaster Medical School, Lancaster University, LA1 4YW, Emergency Department",GBR,Europe & Central Asia,High income
97,6504735307,Co-author,SWE,Europe,Hovbrandt P.,"Department of Health Sciences, Lund University, P.O. Box 157",SWE,Europe & Central Asia,High income
98,6504737397,First Author,DEU,Europe,Maaz A.,"Centre for Medical Education and Educational Research, Dean’s Office of Study Affairs, Charité - Universitätsmedizin Berlin",DEU,Europe & Central Asia,High income
99,6504761251,Co-author,USA,North America,Vasilias J.,"ACGME, Review Committee for Internal Medicine, ACGME",USA,North America,High income
100,6504764840,Co-author,USA,North America,Wittels K.A.,"Brigham and Women's Hospital, Harvard Medical School",USA,North America,High income
101,6504799597,Co-author,USA,North America,Jamshed N.,"Division of Geriatric Medicine, UT Southwestern Medical Center",USA,North America,High income
102,6504800694,First Author,NLD,Europe,Pols D.H.J.,"Department of General Practice, Erasmus MC University Medical Center",NLD,Europe & Central Asia,High income
103,6504810334,Co-author,USA,North America,Shilstone H.,"Department of Surgery, Baylor College of Medicine",USA,North America,High income
104,6504820479,Co-author,IRN,Asia,Valizadeh L.,"Medical Education Research Center, Health Management and Safety Promotion Research Institute, Tabriz University of Medical Sciences, Department of Pediatric Nursing, School of Nursing and Midwifery, Shahid Beheshti University of Medical Sciences",IRN,Middle East & North Africa,Upper middle income
105,6504824640,Co-author,THA,Asia,Plansangkate P.,"Department of Anesthesiology, Faculty of Medicine, Songkla University",THA,East Asia & Pacific,Upper middle income
106,6504825219,Co-author,LTU,Europe,Vaitkaitis D.,"Department of Disaster Medicine, Lithuanian University of Health Sciences",LTU,Europe & Central Asia,High income
107,6505469141,Co-author,UGA,Africa,Kateete D.,"School of Biomedical Sciences, Makerere University",UGA,Sub-Saharan Africa,Low income
108,6505494899,Co-author,DEU,Europe,Schulz-Weidner N.,"Dental Clinic - Department of Pediatric Dentistry, Justus Liebig University",DEU,Europe & Central Asia,High income
109,6505501865,Co-author,FRA,Europe,Joguet G.,"Caribbean Center for Reproductive Medicine, CECOS CARAIBES",FRA,Europe & Central Asia,High income
110,6505514109,Co-author,ESP,Europe,Fernández-Jiménez C.,"Department of Psychology, University of Granada",ESP,Europe & Central Asia,High income
111,6505514869,First Author,FRA,Europe,Chevreul K.,"ECEVE, Paris Diderot University, French National Institute of Health and Medical Research, Institut National de la Santé et de la Recherche Médicale, Inserm, URC-Eco, Assistance Publique, Hopitaux de Paris, AP-HP",FRA,Europe & Central Asia,High income
112,6505526687,Co-author,CAN,North America,Bhanji F.,"Department of Pediatrics, McGill University, Royal College of Physicians and Surgeons, ON",CAN,North America,High income
113,6505541978,Co-author,DEU,Europe,Buggenhagen H.,"Rudolf Frey Learning Clinic, University Medical Centreof, Johannes Gutenberg University Mainz",DEU,Europe & Central Asia,High income
114,6505554093,Co-author,HUN,Europe,Marincsák R.,"Faculty of Dentistry, University of Debrecen",HUN,Europe & Central Asia,High income
115,6505566900,Co-author,USA,North America,Kannampallil T.,"Department of Anesthesiology, Washington University School of Medicine, Institute for Informatics, Washington University School of Medicine",USA,North America,High income
116,6505567506,Co-author,USA,North America,Eigsti H.J.,"School of Physical Therapy, Regis University",USA,North America,High income
117,6505576277,Co-author,NLD,Europe,Verberg C.P.M.,"ICLON, Leiden University, Graduate School of Teaching",NLD,Europe & Central Asia,High income
118,6505577263,Co-author,FRA,Europe,Farampour F.,"Emergency Department, EMS",FRA,Europe & Central Asia,High income
119,6505582112,Co-author,USA,North America,Nankivil N.,"American Medical Association, 330 N. Wabash Avenue",USA,North America,High income
120,6505596918,Co-author,DEU,Europe,Issleib M.,"Department of Anaesthesiology, University Medical Centre Hamburg-Eppendorf",DEU,Europe & Central Asia,High income
121,6505603526,Co-author,GBR,Europe,Tufail-Hanif U.,University of Edinburgh,GBR,Europe & Central Asia,High income
122,6505610813,Co-author,USA,North America,Cunningham-Bussel A.C.,"Division of Rheumatology, Immunology and Allergy, Brigham and Women's Hospital",USA,North America,High income
123,6505616404,Co-author,DEU,Europe,Rundel M.,Celenus Kliniken GmbH,DEU,Europe & Central Asia,High income
124,6505631416,Co-author,USA,North America,Farmakidis A.L.,Association of American Medical Colleges,USA,North America,High income
125,6505636467,Co-author,AUS,Oceania,Doyle Z.,"Rural Clinical School, School of Medicine, University of Notre Dame",AUS,East Asia & Pacific,High income
126,6505645334,Co-author,MDG,Africa,Randaoharison P.,"Hospital University Center, University of Mahajanga",MDG,Sub-Saharan Africa,Low income
127,6505655503,Co-author,FRA,Europe,Plancon M.,"Palliative Care Mobile Unit, General Hospital",FRA,Europe & Central Asia,High income
128,6505665297,Co-author,MEX,North America,Lamadrid-Figueroa H.,"Dirección de Salud Reproductiva, Centro de Investigación en Salud Poblacional, Instituto Nacional de Salud Pública",MEX,Latin America & Caribbean,Upper middle income
129,6505683443,Co-author,USA,North America,Folb B.,"Health Sciences Library System, University of Pittsburgh",USA,North America,High income
130,6505694420,Co-author,CAN,North America,Osei-Tutu K.,"Department of Family Medicine, Cumming School of Medicine, University of Calgary",CAN,North America,High income
131,6505702360,Co-author,USA,North America,Von Zinkernagel D.,University of California,USA,North America,High income
132,6505703311,Co-author,ARE,Asia,Premadasa G.,"Department of Pharmacology, Gulf Medical University",ARE,Middle East & North Africa,High income
133,6505712362,Co-author,USA,North America,Wackett A.,"Health Sciences Center, Office of the Dean, Renaissance School of Medicine, Stony Brook University",USA,North America,High income
134,6505740473,Co-author,SWE,Europe,Hulegårdh E.,"Department of Research, Sahlgrenska University Hospital, Development, Education and Innovation",SWE,Europe & Central Asia,High income
135,6505741121,First Author,AUS,Oceania,Gishen F.,University College,AUS,East Asia & Pacific,High income
136,6505749334,Co-author,IRN,Asia,Zamanzadeh V.,"Department of Medical Surgical Nursing, School of Nursing & Midwifery, Shahid Beheshti University of Medical Sciences",IRN,Middle East & North Africa,Upper middle income
137,6505758534,Co-author,GBR,Europe,Sprigg C.,"Institute of Work Psychology, Management School, University of Sheffield",GBR,Europe & Central Asia,High income
138,6505772518,Co-author,ESP,Europe,López-Medina I.M.,"Department of Nursing, Faculty of Health Sciences, University of Jaen",ESP,Europe & Central Asia,High income
139,6505774943,Co-author,USA,North America,Elhadad N.,"Department of Biomedical Informatics, Columbia University",USA,North America,High income
140,6505775894,Co-author,CHE,Europe,Galetto-Lacour A.,"Pediatric Emergency Division, Children's Hospital, University Hospitals",CHE,Europe & Central Asia,High income
141,6505778553,Co-author,USA,North America,Phillipi C.A.,Oregon Health and Science University,USA,North America,High income
142,6505784593,Co-author,PRT,Europe,Bernardes S.F.,"Instituto Universitário de Lisboa, ISCTE-IUL, Avenida das Forças Armadas, Centro de Investigação e Intervenção Social",PRT,Europe & Central Asia,High income
143,6505784695,Co-author,GBR,Europe,Eyber C.,"Institute for Global Health and Development, Queen Margaret University",GBR,Europe & Central Asia,High income
144,6505787689,Co-author,CAN,North America,Goffi A.,"Department of Medicine, University of Toronto, ON, Critical Care Medicine, Unity Health",CAN,North America,High income
145,6505788610,Co-author,AUS,Oceania,Anoopkumar-Dukie S.,"School of Pharmacy and Medical Sciences, Griffith University, Quality Use of Medicines Network, Griffith University",AUS,East Asia & Pacific,High income
146,6505789311,Co-author,USA,North America,Tegtmeyer K.,Cincinnati Children's Hospital Medical Center,USA,North America,High income
147,6505795599,Co-author,BGD,Asia,Freidank A.,Department of Pharmacy,BGD,South Asia,Lower middle income
148,6505798232,Co-author,UGA,Africa,Mukunya D.,Sanyu Africa Research Institute,UGA,Sub-Saharan Africa,Low income
149,6505802936,Co-author,FRA,Europe,Fagnère C.,"Département de Chimie Organique et Thérapeutique, Faculté de Pharmacie, University of Limoges",FRA,Europe & Central Asia,High income
150,6505804341,Co-author,FIN,Europe,Pasonen-Seppänen S.,"Institute of Biomedicine, School of Medicine, Faculty of Health Sciences, University of Eastern Finland",FIN,Europe & Central Asia,High income
151,6505804794,Co-author,PHL,Asia,Bravo-Ortiz M.-F.,"Clinical Psychology and Mental Health Department, La Paz University Hospital, Faculty of Medicine, Autonomous University of Madrid, Psychiatry, Clinical Psychology, Mental Health Area, La Paz University Hospital Institute for Health Research, IdiPAZ",PHL,East Asia & Pacific,Lower middle income
152,6505805003,Co-author,USA,North America,Wiljer D.,University Health Network,USA,North America,High income
153,6505810727,First Author,ESP,Europe,Escribano N.,"Faculty of Health Sciences, IDIBO Research Group, Rey Juan Carlos University",ESP,Europe & Central Asia,High income
154,6505827428,Co-author,AUS,Oceania,Tavener M.,"School of Medicine and Public Health, College of Health, Medicine and Wellbeing, University of Newcastle",AUS,East Asia & Pacific,High income
155,6505829593,Co-author,CAN,North America,Gaboury I.,Department of Family Medicine and Emergency Medicine,CAN,North America,High income
156,6505830208,Co-author,HRV,Europe,Jerončić A.,"Department of Research in Biomedicine and Health, University of Split, School of Medicine",HRV,Europe & Central Asia,High income
157,6505831162,First Author,CAN,North America,Puddester D.,"Faculty of Medicine, University of Ottawa",CAN,North America,High income
158,6505835155,Co-author,NLD,Europe,Prinzie P.,"Department of Psychology, Education and Child Studies, Erasmus School of Social and Behavioural Sciences, Erasmus University",NLD,Europe & Central Asia,High income
159,6505841549,Co-author,BEL,Europe,Manhaeve D.,University of Leuven,BEL,Europe & Central Asia,High income
160,6505846498,Co-author,GBR,Europe,Baverstock A.,"Musgrove Park Hospital, Somerset Foundation NHS Trust",GBR,Europe & Central Asia,High income
161,6505855347,Co-author,IRN,Asia,Elizov M.,"Department of Medical Education, School of Medicine, Tehran University of Medical Sciences",IRN,Middle East & North Africa,Upper middle income
162,6505860296,Co-author,USA,North America,Mensel B.,Department of Radiology,USA,North America,High income
163,6505860319,Co-author,USA,North America,Elsayes K.M.,"Department of Abdominal Imaging, University of Texas MD Anderson Cancer Center",USA,North America,High income
164,6505860861,Co-author,USA,North America,Fremer J.,Caveon Test Security,USA,North America,High income
165,6505864955,First Author,ESP,Europe,Masedo A.,"Department of Personality, Evaluation and Psychological Treatment, MARISTAN Network",ESP,Europe & Central Asia,High income
166,6505866937,Co-author,MYS,Asia,Amandua J.,Ministry of Health,MYS,East Asia & Pacific,Upper middle income
167,6505868510,Co-author,LCA,North America,Hla Y.Y.,International Medical University,LCA,Latin America & Caribbean,Upper middle income
168,6505873723,First Author,USA,North America,Teisberg E.,"Value Institute for Health and Care, Cullen Trust, Dell Medical School, McCombs School of Business, University of Texas",USA,North America,High income
169,6505878137,Co-author,USA,North America,Cronau H.,"Family Medicine, The Ohio State University",USA,North America,High income
170,6505878176,Co-author,USA,North America,Cronkright P.,"Department of Internal Medicine, SUNY Upstate Medical University",USA,North America,High income
171,6505890222,Co-author,USA,North America,Al-Senani F.,University for Health Sciences,USA,North America,High income
172,6505891475,Co-author,USA,North America,Phrampus P.E.,"University of Pittsburgh Medical Center, UPMC Montefiore, 9 South, Department of Obstetrics, Gynecology, and Reproductive Sciences, University of Pittsburgh School of Medicine",USA,North America,High income
173,6505893172,Co-author,USA,North America,Timimi F.K.,"Department of Cardiovascular Diseases, Mayo Clinic Center for Social Media, Mayo Clinic",USA,North America,High income
174,6505894108,Co-author,USA,North America,Kopras E.,"Department of Emergency Medicine, College of Medicine, Research Design, Center for Clinical and Translational Science and Training, University of Cincinnati",USA,North America,High income
175,6505896320,Co-author,USA,North America,Naqibuddin M.,"Armstrong Institute for Patient Safety and Quality, Johns Hopkins Medicine, Department of Anesthesiology and Critical Care Medicine, Johns Hopkins University School of Medicine",USA,North America,High income
176,6505901418,Co-author,DEU,Europe,Piepho T.,"Department of Anaesthesiology, Intensive Care, Mercy Hospital",DEU,Europe & Central Asia,High income
177,6505904483,First Author,AUS,Oceania,Reath J.,"Department of General Practice, Western Sydney University",AUS,East Asia & Pacific,High income
178,6505907926,Co-author,GBR,Europe,Vidailhet P.,"Health Service, Population Research Department, David Goldberg Centre, King's College London, Institute of Psychiatry, Psychology and Neuroscience, SE5 8AF",GBR,Europe & Central Asia,High income
179,6505911969,Co-author,BEL,Europe,Declercq T.,"Department of General Practice, Primary Health Care Ghent University",BEL,Europe & Central Asia,High income
180,6505913925,Co-author,GBR,Europe,Okoro T.,"Department of Arthroplasty, Agnes Hunt Orthopaedic Hospital",GBR,Europe & Central Asia,High income
181,6505915711,First Author,AUS,Oceania,Misso M.L.,"Monash Centre for Health Research and Implementation, School Public Health and Preventative Medicine, Monash University, MHRP",AUS,East Asia & Pacific,High income
182,6505916200,Co-author,AUS,Oceania,Gerdtz M.,"Department of Nursing, Faculty of Medicine, Dentistry and Health Sciences, The University of Melbourne, Level 6, Alan Gilbert Building",AUS,East Asia & Pacific,High income
183,6505917122,Co-author,USA,North America,Safaoui M.N.,"Department of Anatomy, College of Osteopathic Medicine of the Pacific, Western University of Health Sciences",USA,North America,High income
184,6505918996,Co-author,USA,North America,Spell N.O.,Emory University School of Medicine,USA,North America,High income
185,6505923779,Co-author,USA,North America,Unti S.M.,"Division of Critical Care Medicine, Department of Pediatrics, McGaw Medical Center, Northwestern University, Feinberg School of Medicine, 225 E. Chicago Ave",USA,North America,High income
186,6505925728,First Author,USA,North America,Guluma K.Z.,"School of Medicine, University of California",USA,North America,High income
187,6505926898,Co-author,LKA,Asia,Gawarammana I.B.,"Clinical Toxicology Research Collaboration, Faculty of Medicine, University of Peradeniya, Department of Medicine, Faculty of Medicine, University of Peradeniya",LKA,South Asia,Lower middle income
