"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Laszlo N.","Laszlo, Nicholas (59417218200)","59417218200","Perceptions and Proficiencies of Primary Care Physicians Treating Metabolic Syndrome: A Descriptive Survey-Based Study","2024","Journal of Continuing Education in the Health Professions","44","3","","187","193","6","0","10.1097/CEH.0000000000000506","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209687785&doi=10.1097%2fCEH.0000000000000506&partnerID=40&md5=dd95a96152f9281c3bafc651539a6ca2","A.T. Still University, College of Graduate Health Studies, Kirksville, MO, United States","Laszlo N., A.T. Still University, College of Graduate Health Studies, Kirksville, MO, United States","Introduction: Metabolic syndrome (MetS) is a chronic condition that has been implicated in adverse public health outcomes worldwide, including in the United States. It has been linked to diseases such as type 2 diabetes and heart disease. Little is known about the perceptions and practices of primary care physicians (PCPs) regarding MetS. The only studies examining this research topic were conducted outside the United States. The aim of this study was to evaluate the MetS knowledge, proficiency, training, and practices of American PCPs, for the purpose of informing future physician education initiatives directed at MetS. Methods: This was a descriptive correlational design using a Likert-scale questionnaire. The survey was distributed to more than 4000 PCPs. The first 100 completed surveys were evaluated using descriptive statistical analyses. Results: Cumulative survey results revealed that most PCPs perceived themselves as knowledgeable on MetS, but only a minority demonstrated an understanding of leading-edge MetS protocols. Ninety-seven percent agreed that MetS is a condition of concern, but only 22% reported possessing sufficient time and resources to fully address MetS. Only half indicated that they had received training in MetS. Discussion: Overall results suggested that a lack of time, training, and resources may pose the greatest obstacles to optimal MetS care. Future studies should aim to identify the specific reasons why these barriers exist. Copyright © 2023 The Alliance for Continuing Education in the Health Professions, the Association for Hospital Medical Education, and the Society for Academic Continuing Medical Education.","Article","Final","","Scopus","2-s2.0-85209687785"
"Chan T.M.; Sherbino J.; Sockalingam S.","Chan, Teresa M. (36542149100); Sherbino, Jonathan (14056775500); Sockalingam, Sanjeev (9045376800)","36542149100; 14056775500; 9045376800","Blueprints for Connection: A Meta-Organizational Framework for Layering Theory, Philosophy, and Praxis Within Continuing Education in the Health Professions","2023","Journal of Continuing Education in the Health Professions","43","4","","S41","S46","5","1","10.1097/CEH.0000000000000533","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179015834&doi=10.1097%2fCEH.0000000000000533&partnerID=40&md5=cbba4f41db40cc7e3fb9285427a9c05a","Division of Emergency Medicine, Division of Education & Innovation, Department of Medicine, McMaster University, Hamilton, ON, Canada; Faculty of Health Sciences, McMaster University, McMaster Education Research, Innovation, and Theory (MERIT) program, Hamilton, ON, Canada; Department of Medicine, Assistant Dean, Health Professions Education Research, Faculty of Health Sciences, McMaster University, Canada; Department of Psychiatry, University of Toronto, Canada; Vice President Education, Centre for Addiction and Mental Health, Toronto, ON, Canada","Chan T.M., Division of Emergency Medicine, Division of Education & Innovation, Department of Medicine, McMaster University, Hamilton, ON, Canada, Faculty of Health Sciences, McMaster University, McMaster Education Research, Innovation, and Theory (MERIT) program, Hamilton, ON, Canada; Sherbino J., Department of Medicine, Assistant Dean, Health Professions Education Research, Faculty of Health Sciences, McMaster University, Canada; Sockalingam S., Department of Psychiatry, University of Toronto, Canada, Vice President Education, Centre for Addiction and Mental Health, Toronto, ON, Canada","As a field, Continuing Professional Development (CPD) lies at the intersection of many disciplines. Tensions can occur as scholars from fields ranging from education to quality improvement seek to advance the practices and workplaces of health care professionals. Owing to the diversity of people working to affect change within the field of CPD, it remains a very challenging space to collaborate and understand the various philosophies, epistemologies, and practice of all those within the field. In this article, the authors have proposed a meta-organizational framework for how we might re-examine theory, application, and practice within the field of CPD. It is their belief that this proposal might inspire others to reflect on how we can cultivate and invite diverse scientists and scholars using a range of theories to add to the fabric of the field of CPD. © 2023 Lippincott Williams and Wilkins. All rights reserved.","Article","Final","","Scopus","2-s2.0-85179015834"
"Bose-Brill S.; Bardales C.; Anjum P.; Prater L.; Otsubo M.; Walker C.; Miles L.; Kreger C.; Childerhose J.E.; Kopechek J.","Bose-Brill, Seuli (56698882500); Bardales, Cheryl (57193519181); Anjum, Phillip (57732409900); Prater, Laura (57205667663); Otsubo, Masami (57441787800); Walker, Curtis (36437723300); Miles, Laura (57205098006); Kreger, Cynthia (6507124833); Childerhose, Janet E. (37101432300); Kopechek, Jack (6504215678)","56698882500; 57193519181; 57732409900; 57205667663; 57441787800; 36437723300; 57205098006; 6507124833; 37101432300; 6504215678","A Portfolio Coach-Informed Professional Development Framework","2023","Journal of Continuing Education in the Health Professions","43","4","","217","224","7","0","10.1097/CEH.0000000000000502","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178494755&doi=10.1097%2fCEH.0000000000000502&partnerID=40&md5=60b7560766bee2f30b603882d2383546","Division of General Internal Medicine, Department of Internal Medicine, The Ohio State University, College of Medicine, Columbus, OH, United States; The Ohio State University, College of Medicine, Columbus, OH, United States; Department of Epidemiology, School of Public Health, University of Washington in Seattle, WA, United States; Division of General Internal Medicine, The Ohio State University, College of Medicine, Columbus, OH, United States; Medicare Policy, Walker J Consulting, Columbus, OH, United States; Division of General Internal Medicine, Department of Internal Medicine, Division of Bioethics, The Ohio State Wexner Medical Center, Columbus, OH, United States; Department of Pediatrics, The Ohio State University, College of Medicine, Columbus, OH, United States","Bose-Brill S., Division of General Internal Medicine, Department of Internal Medicine, The Ohio State University, College of Medicine, Columbus, OH, United States; Bardales C., The Ohio State University, College of Medicine, Columbus, OH, United States; Anjum P., The Ohio State University, College of Medicine, Columbus, OH, United States; Prater L., Department of Epidemiology, School of Public Health, University of Washington in Seattle, WA, United States; Otsubo M., Division of General Internal Medicine, The Ohio State University, College of Medicine, Columbus, OH, United States; Walker C., Medicare Policy, Walker J Consulting, Columbus, OH, United States; Miles L., Division of General Internal Medicine, Department of Internal Medicine, The Ohio State University, College of Medicine, Columbus, OH, United States; Kreger C., Division of General Internal Medicine, Department of Internal Medicine, The Ohio State University, College of Medicine, Columbus, OH, United States; Childerhose J.E., Division of General Internal Medicine, Department of Internal Medicine, Division of Bioethics, The Ohio State Wexner Medical Center, Columbus, OH, United States; Kopechek J., Department of Pediatrics, The Ohio State University, College of Medicine, Columbus, OH, United States","Introduction:A majority of US medical schools have incorporated faculty coach-supported educational portfolios into the curriculum. Existing research describes coach professional development, competencies, and program perceptions. However, limited research exists on how programs address coach professional development needs. Our sequential objectives were to (1) explore faculty coach professional development experiences within medical student coaching programs and (2) develop a preliminary framework for medical faculty coach professional development.Methods:Faculty portfolio coaches who completed 4 years of a longitudinal coaching program were recruited to complete a semi-structured exit interview. Interviews were transcribed using detailed transcription. Two analysts inductively generated a codebook of parent and child codes to identify themes. They compared themes to the professional development model proposed by O'Sullivan and Irby.Results:Of the 25 eligible coaches, 15 completed the interview. Our team organized themes into two broad domains paralleling the established model: program-specific professional development and career-relevant professional development. Four program-specific professional development themes emerged: doing; modeling; relating; and hosting. Three career-relevant professional development themes emerged: advancement; meaning; and understanding. We then applied themes within each domain to propose strategies to optimize coach professional development and develop a framework modeled after O'Sullivan and Irby.Discussion:To our knowledge, we propose the first portfolio coach-informed framework for professional development. Our work builds on established standards, expert opinion, and research responsible for portfolio coach professional development and competencies. Allied health institutions with portfolio coaching programs can apply the framework for professional development innovation. © 2023 Lippincott Williams and Wilkins. All rights reserved.","Article","Final","","Scopus","2-s2.0-85178494755"
"Darani S.A.; McMaster R.; Wolff E.; Bonato S.; Simpson A.; Glancy G.; Sandhu K.; Quinn J.","Darani, Shaheen A. (57214911004); McMaster, Robert (57191321209); Wolff, Elena (57558904800); Bonato, Sarah (54395029200); Simpson, Alexander (7402780451); Glancy, Graham (7003592624); Sandhu, Kiren (58742608400); Quinn, Jason (55746463600)","57214911004; 57191321209; 57558904800; 54395029200; 7402780451; 7003592624; 58742608400; 55746463600","Addressing the Mental Health Needs of Inmates Through Education for Correctional Officers - A Narrative Review","2023","Journal of Continuing Education in the Health Professions","43","4","","247","253","6","5","10.1097/CEH.0000000000000484","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166435236&doi=10.1097%2fCEH.0000000000000484&partnerID=40&md5=89dc0b1d9813173dd99a8f570a984377","Department of Psychiatry, University of Toronto, Toronto, Canada; Centre for Addiction and Mental Health, Toronto, ON, Canada; University of Toronto, Toronto, ON, Canada; Department of Psychiatry, University of Western Ontario, London, Canada; Southwest Centre for Forensic Mental Health Care, London, ON, Canada","Darani S.A., Department of Psychiatry, University of Toronto, Toronto, Canada, Centre for Addiction and Mental Health, Toronto, ON, Canada; McMaster R., Department of Psychiatry, University of Toronto, Toronto, Canada, Centre for Addiction and Mental Health, Toronto, ON, Canada; Wolff E., University of Toronto, Toronto, ON, Canada; Bonato S., Centre for Addiction and Mental Health, Toronto, ON, Canada; Simpson A., Department of Psychiatry, University of Toronto, Toronto, Canada, Centre for Addiction and Mental Health, Toronto, ON, Canada; Glancy G., Department of Psychiatry, University of Toronto, Toronto, Canada, Centre for Addiction and Mental Health, Toronto, ON, Canada; Sandhu K., Centre for Addiction and Mental Health, Toronto, ON, Canada; Quinn J., Department of Psychiatry, University of Western Ontario, London, Canada, Southwest Centre for Forensic Mental Health Care, London, ON, Canada","Introduction:People with mental illness are overrepresented in correctional facilities. Correctional officers (COs) lack education to respond to inmates with mental illness. A review was conducted of mental health education programs for COs to identify factors related to effectiveness.Methods:Medical and criminal justice databases were searched for articles describing mental health education for COs. Studies including measurable outcomes were analyzed using an inductive analytic approach. The review adhered to Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines for scoping reviews. Data were synthesized using Moore seven levels of outcomes for continuing professional development education. Findings were grouped by curriculum content and described according to levels of outcome.Results:Of 1492 articles, 11 were included in the analysis. Six described mental health programs, two described skill-specific programs, and three described suicide prevention programs. Programs reviewed content about mental illness, practical skills, included didactic and experiential teaching. The programs achieved level 5 on Moore taxonomy. Programs led to improvements in knowledge, skills, and attitudes among officers; however, improvements declined post-training. Officers were receptive to facilitators with correctional or lived mental health experience. Experiential teaching was preferred. Common themes related to programs' effectiveness included applicability to COs, information retention, program facilitators, and teaching methods.Discussion:There is limited, but positive literature suggesting that education programs are beneficial. The decline in improvements suggests need to ensure sustainability of improvements. This review can guide the planning of future education programs for COs based on continuing professional development best practices. © 2023 Lippincott Williams and Wilkins. All rights reserved.","Review","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85166435236"
"Clemens L.","Clemens, Lisa (59416554700)","59416554700","The Efficacy and Cost-Effectiveness of a Simulation-Based Primary Care Procedural Skills Training Program for Advanced Practice Providers","2024","Journal of Continuing Education in the Health Professions","44","3","","222","228","6","1","10.1097/CEH.0000000000000530","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182450146&doi=10.1097%2fCEH.0000000000000530&partnerID=40&md5=a722df70f26d039b2df59a35e6266182","Provider Professional Development and Simulation, Parkview Health, Fort Wayne, IN, United States; A.T. Still University, Mesa, AZ, United States","Clemens L., Provider Professional Development and Simulation, Parkview Health, Fort Wayne, IN, United States, A.T. Still University, Mesa, AZ, United States","Introduction: The purpose of this program evaluation was to investigate the efficacy of simulation-based primary care procedural skills training to increase participant confidence, knowledge, and skill in performing the procedures included in the training and to evaluate the cost-effectiveness of the training. Methods: A retrospective, within-subjects analysis of the change in perceived confidence, skill, and knowledge in procedure performance after the simulation-based primary care procedural skills training program measured by pretraining and post-training Likert scale surveys and change in clinical procedure performance frequency for abscess incision and drainage and laceration repair up to 6 months before and 6 months after the training in the outpatient setting was performed. Results: Participants self-reported higher median confidence, perceived skill, and perceived knowledge of all procedures included in the training course, with statistically significant increases for all procedures. A mean increase in laceration repairs in the clinical setting of 10% after training was found. Higher median performance of abscess incision and drainage after training (median = 20.00%, n = 25) compared with before training (median = 0.00%, n = 25) and a mean increase in performance of abscess incision and drainage in the clinical setting of 6% after training was found, but increases were not statistically significant. Discussion: Participation in a 2-day simulation-based primary care procedural skills training program was an effective method to increase confidence, perceived skill, and knowledge of outpatient procedures among practicing providers. Further evaluation to establish return on investment is needed, because statistically significant increases in clinical procedure performance were unable to be demonstrated. Copyright © 2023 The Alliance for Continuing Education in the Health Professions, the Association for Hospital Medical Education, and the Society for Academic Continuing Medical Education.","Article","Final","","Scopus","2-s2.0-85182450146"
"Branzetti J.","Branzetti, Jeremy (36772941900)","36772941900","Developmental Coaching for Clinician Educators: Just What the Doctor Ordered","2024","Journal of Continuing Education in the Health Professions","","","10.1097/CEH.0000000000000586","","","","0","10.1097/CEH.0000000000000586","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214294835&doi=10.1097%2fCEH.0000000000000586&partnerID=40&md5=948da0a67ed0c233907fb0837680065b","Academic Educator Coaching, Department of Emergency Medicine, Yale University School of Medicine, New Haven, CT, United States","Branzetti J., Academic Educator Coaching, Department of Emergency Medicine, Yale University School of Medicine, New Haven, CT, United States","Despite intensive attempts to create scholarship equity at academic medical centers, clinician educators continue to face a challenging professional promotion environment that puts them at risk for burnout, stalled career advancement, and abandonment of academic medicine altogether.Coaching, which has a wealth of supportive evidence from outside of medicine, is distinguished by (1) being driven by the agentic coachee that is inherently capable, creative, and resourceful, (2) not requiring the coach and coachee to have shared content expertise, and (3) not being centered around transfer of expertise from the more knowledgeable or experienced party to the recipient.Initial evidence from within medicine indicates that coaching reduces burnout and improves learner self-reflection, teaching effectiveness, goal setting, reflective capacity, professional identity formation, career planning, and development of adaptive expertise.In this article, faculty coaching is presented as a powerful means to help clinician educators overcome the myriad challenges to professional advancement and career fulfillment.The current evidence in support of coaching-both within and outside of medicine-is reviewed.Finally, a conceptual model is provided, as are guidelines demonstrating specific roles, behaviors, and responsibilities for faculty coaches and coachees. Copyright © 2024 The Alliance for Continuing Education in the Health Professions.","Article","Article in press","","Scopus","2-s2.0-85214294835"
"Pizzuti C.; Palmieri C.; Shaw T.","Pizzuti, Carol (57212058856); Palmieri, Cristiana (59119073300); Shaw, Tim (35234984900)","57212058856; 59119073300; 35234984900","Using eHealth Data to Inform CPD for Medical Practitioners: A Scoping Review with a Consultation Exercise with International Experts","2023","Journal of Continuing Education in the Health Professions","43","4","","S47","S58","11","3","10.1097/CEH.0000000000000534","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179021552&doi=10.1097%2fCEH.0000000000000534&partnerID=40&md5=8119a8f82d75e3a2ea9bb780aebe2c7b","Faculty of Medicine and Health, The University of Sydney, Camperdown, Australia; The Royal Australasian College of Physicians, Sydney, Australia; Faculty of Arts and Social Sciences, The University of Sydney, Camperdown, Australia","Pizzuti C., Faculty of Medicine and Health, The University of Sydney, Camperdown, Australia, The Royal Australasian College of Physicians, Sydney, Australia; Palmieri C., The Royal Australasian College of Physicians, Sydney, Australia, Faculty of Arts and Social Sciences, The University of Sydney, Camperdown, Australia; Shaw T., Faculty of Medicine and Health, The University of Sydney, Camperdown, Australia","Introduction: eHealth data analytics is widely used in health care research. However, there is limited knowledge on the role of eHealth data analysis to inform continuing professional development (CPD). The aim of this study was to collate available research evidence on the use of eHealth data for the development of CPD programs and plans for medical practitioners. Methods: A scoping review was conducted using the six-stage Arksey and O’Malley Framework. A consultation exercise (stage 6) was performed with 15 international experts in the fields of learning and practice analytics to deepen the insights. Results: Scoping review. The literature searches identified 9876 articles published from January 2010 to May 2022. After screening and full-text review, a total of nine articles were deemed relevant for inclusion. The results provide varied—and at times partial or diverging—answers to the scoping review research questions. Consultation exercise. Research rigor, field of investigation, and developing the field were the three themes emerged from analysis. Participants validated the scoping review methodology and confirmed its results. Moreover, they provided a meta-analysis of the literature, a description of the current CPD ecosystem, and clear indications of what is and should be next for the field. Discussion: This study shows that there is no formal or well-established correlation between eHealth data and CPD planning and programming. Overall findings fill a gap in the literature and provide a basis for further investigation. More foundational work, multidisciplinary collaborations, and stakeholders’ engagement are necessary to advance the use of eHealth data analysis for CPD purposes. © 2023 Lippincott Williams and Wilkins. All rights reserved.","Review","Final","","Scopus","2-s2.0-85179021552"
"Deshpande N.; Starks H.; Kaplan E.; Stack S.; Mookherjee S.","Deshpande, Neha (58132383000); Starks, Helene (6602249259); Kaplan, Elizabeth (56909469900); Stack, Shobha (57191078815); Mookherjee, Somnath (36094985000)","58132383000; 6602249259; 56909469900; 57191078815; 36094985000","Making the Mentorship Connection: Using Authentic Conversations for Faculty Development","2023","Journal of Continuing Education in the Health Professions","43","3","","145","147","2","0","10.1097/CEH.0000000000000496","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170671082&doi=10.1097%2fCEH.0000000000000496&partnerID=40&md5=db953e7d51f11b2dc0b9fb60222b072e","Department of Bioethics and Humanities, University of Washington, Seattle, WA, United States; Department of Medicine, University of Washington, School of Medicine, Seattle, WA, United States","Deshpande N.; Starks H., Department of Bioethics and Humanities, University of Washington, Seattle, WA, United States; Kaplan E.; Stack S.; Mookherjee S., Department of Medicine, University of Washington, School of Medicine, Seattle, WA, United States","[No abstract available]","Article","Final","","Scopus","2-s2.0-85170671082"
"Nguyen D.; Tupas K.D.; Thammasitboon S.","Nguyen, Diane (57220970238); Tupas, Kris Denzel (58170392100); Thammasitboon, Satid (23092155400)","57220970238; 58170392100; 23092155400","Evolution of a Continuing Professional Development Program Based on a Community of Practice Model for Health Care Professionals in Resource-Limited Settings","2024","Journal of Continuing Education in the Health Professions","44","1","","58","63","5","2","10.1097/CEH.0000000000000505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186078730&doi=10.1097%2fCEH.0000000000000505&partnerID=40&md5=a4c6702ebdb7b96aceade48e38e7227c","BIPAI Baylor College of Medicine International Pediatrics AIDS Initiative (BIPAI), Texas Children's Hospital, Department of Pediatrics, Baylor College of Medicine, TX, United States; Assistant Professor of Clinical Sciences, IL, United States; Critical Care Medicine Division, Center for Research, Innovation and Scholarship in Medical Education (CRIS), Texas Children's Hospital, Baylor College of Medicine, TX, United States","Nguyen D., BIPAI Baylor College of Medicine International Pediatrics AIDS Initiative (BIPAI), Texas Children's Hospital, Department of Pediatrics, Baylor College of Medicine, TX, United States; Tupas K.D., Assistant Professor of Clinical Sciences, IL, United States; Thammasitboon S., Critical Care Medicine Division, Center for Research, Innovation and Scholarship in Medical Education (CRIS), Texas Children's Hospital, Baylor College of Medicine, TX, United States","Introduction:The Baylor International Pediatric AIDS Initiative (BIPAI) Network supports a network of independent nongovernmental organizations providing health care for children and families in low- and middle-income countries (LMIC). Using a community of practice (CoP) framework, a continuing professional development (CPD) program was created for health professionals to enhance knowledge and exchange best practices.Methods:An online learning platform (Moodle), videoconferencing (Zoom), instant messaging systems (Whatsapp), and email listserv facilitated learning and interaction between program participants. Target participants initially included pharmacy staff and expanded to include other health professionals. Learning modules included asynchronous assignments and review of materials, live discussion sessions, and module pretests and posttests. Evaluation included participants' activities, changes in knowledge, and assignment completion. Participants provided feedback on program quality via surveys and interviews.Results:Five of 11 participants in Year 1 earned a certificate of completion, and 17 of 45 participants earned a certificate in Year 2. Most modules showed an increase in module pretest and posttest scores. Ninety-seven percent of participants indicated that the relevance and usefulness of modules were good or outstanding. Ongoing evaluation indicated changes in Year 2 for program improvement, and notable outcomes indicated how CoP added value in developing a true community.Discussion:Using a CoP framework allowed participants to improve their personal knowledge and become part of a learning community and network of interdisciplinary health care professionals. Lessons learned included expanding program evaluation to capture potential value creation of the community of practice in addition to individual-level development; providing briefer, more focused programs to better serve busy working professionals; and optimizing use of technological platforms to improve participant engagement. © 2024 Lippincott Williams and Wilkins. All rights reserved.","Review","Final","","Scopus","2-s2.0-85186078730"
"Soklaridis S.; Chowdhury M.; Turco M.G.; Tremblay M.; Mazmanian P.; Williams B.; Besa R.; Sockalingam S.","Soklaridis, Sophie (18438647700); Chowdhury, Mushfika (57208325429); Turco, Mary G. (55539095300); Tremblay, Martin (57270831600); Mazmanian, Paul (6701804350); Williams, Betsy (23011060500); Besa, Reena (57194185135); Sockalingam, Sanjeev (9045376800)","18438647700; 57208325429; 55539095300; 57270831600; 6701804350; 23011060500; 57194185135; 9045376800","Pivoting Continuing Professional Development During the COVID-19 Pandemic: A Narrative Scoping Review of Adaptations and Innovations","2024","Journal of Continuing Education in the Health Professions","44","4","","e22","e35","13","1","10.1097/CEH.0000000000000539","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210211157&doi=10.1097%2fCEH.0000000000000539&partnerID=40&md5=3a3c36d25e5d55bd46af4cc260d74d46","The Wilson Centre, University Health Network, University of Toronto, Toronto, ON, Canada; Centre for Addiction and Mental Health, Toronto, ON, Canada; Department of Medicine, Dartmouth-Hitchcock Medical Centre, Geisel School of Medicine at Dartmouth, Lebanon, NH, United States; Fédération des médecins spécialistes du Québec, Montréal, QC, Canada; Department of Preventive Medicine and Community Health, Virginia Commonwealth University, Richmond, VA, United States; Department of Psychiatry, School of Medicine, University of Kansas, Kansas City, KS, United States","Soklaridis S., The Wilson Centre, University Health Network, University of Toronto, Toronto, ON, Canada; Chowdhury M., Centre for Addiction and Mental Health, Toronto, ON, Canada; Turco M.G., Department of Medicine, Dartmouth-Hitchcock Medical Centre, Geisel School of Medicine at Dartmouth, Lebanon, NH, United States; Tremblay M., Fédération des médecins spécialistes du Québec, Montréal, QC, Canada; Mazmanian P., Department of Preventive Medicine and Community Health, Virginia Commonwealth University, Richmond, VA, United States; Williams B., Department of Psychiatry, School of Medicine, University of Kansas, Kansas City, KS, United States; Besa R., Centre for Addiction and Mental Health, Toronto, ON, Canada; Sockalingam S., The Wilson Centre, University Health Network, University of Toronto, Toronto, ON, Canada","Introduction: Most formal continuing professional development (CPD) opportunities were offered in person until March 2020 when the COVID-19 pandemic disrupted traditional structures of CPD offerings. The authors explored the adaptations and innovations in CPD that were strengthened or newly created during the first 16 months of the pandemic. Methods: The objectives of the narrative review were to answer the following questions: (1) what types of adaptations to CPD innovations are described? and (2) what may shape future innovations in CPD? The following databases were searched: Medline, Embase, CINAHL, and ERIC to identify the literature published between March 2020 to July 2021. The authors conducted a comprehensive search by including all study types that described adaptations and/or innovations in CPD during the stated pandemic period. Results: Of the 8295 citations retrieved from databases, 191 satisfied the inclusion criteria. The authors found three categories to describe adaptations to CPD innovations: (1) creation of new online resources, (2) increased use of the existing online platforms/software to deliver CPD, and (3) use of simulation for teaching and learning. Reported advantages and disadvantages associated with these adaptations included logistical, interactional, and capacity building elements. The review identified five potential future CPD innovations: (1) empirical research on the effectiveness of virtual learning; (2) novel roles and ways of thinking; (3) learning from other disciplines beyond medicine; (4) formation of a global perspective; and (5) emerging wellness initiatives. Discussion: This review provided an overview of the adaptations and innovations that may shape the future of CPD beyond the pandemic. © 2024 The Author(s).","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85210211157"
"Windfeld-Lund C.; Sturt R.; Pham C.; Lannin N.A.; Graco M.","Windfeld-Lund, Cristie (57203248453); Sturt, Rodney (35085628500); Pham, Carol (58299131700); Lannin, Natasha A. (6602527646); Graco, Marnie (25928350800)","57203248453; 35085628500; 58299131700; 6602527646; 25928350800","Systematic Review of the Effectiveness of Allied Health Clinical Education Programs","2023","Journal of Continuing Education in the Health Professions","43","2","","109","116","7","2","10.1097/CEH.0000000000000477","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160878051&doi=10.1097%2fCEH.0000000000000477&partnerID=40&md5=b46564c50d02dad2e9c1b904faee1b9e","Physiotherapist Caulfield Hospital, Acquired Brain Injury Unit, 260 Kooyong Road, Caulfield, 3162, Australia; Allied Health Clinical Education Lead, Alfred Health, Melbourne, Australia; Alfred Health, Melbourne, Australia; Department of Neuroscience, Monash University, Melbourne, Australia; Clinical Chair (Occupational Therapy), Alfred Health, Melbourne, Australia; Implementation Scientist, Institute for Breathing and Sleep, Austin Health, Melbourne, Australia","Windfeld-Lund C., Physiotherapist Caulfield Hospital, Acquired Brain Injury Unit, 260 Kooyong Road, Caulfield, 3162, Australia; Sturt R., Allied Health Clinical Education Lead, Alfred Health, Melbourne, Australia; Pham C., Alfred Health, Melbourne, Australia; Lannin N.A., Department of Neuroscience, Monash University, Melbourne, Australia, Clinical Chair (Occupational Therapy), Alfred Health, Melbourne, Australia; Graco M., Implementation Scientist, Institute for Breathing and Sleep, Austin Health, Melbourne, Australia","Introduction:Continuing allied health professional (AHP) clinical education is essential to ensure high-quality patient care; however, the effectiveness of current education programs is unclear. This review aimed to determine whether AHP education programs improve the knowledge of AHPs, change their clinical practice behavior, and/or improve patient-related clinical outcome and to identify important components of these programs.Methods:Four electronic databases were searched. Controlled clinical trials investigating the effectiveness of clinical education programs were included. Education programs were diverse, varying in design, delivery mode, and intensity. Only therapy-specific AHPs were included. Effectiveness was determined by differences in group outcomes in the domains of AHP knowledge, AHP clinical practice behavior, and patient-related clinical outcomes.Results:Forty-four studies were identified, of which 26 included physiotherapists only. Most control groups were waitlist, passive dissemination of information, or usual care, limiting comparisons between programs. Changes in AHP knowledge was investigated in 20 trials, with 13 showing an improvement. Thirty studies investigated changes in AHP clinical practice behavior, with half demonstrating a difference between groups. Seventeen studies investigated a patient-related clinical outcome, with five finding a difference between groups. Where improvements in outcomes were demonstrated, programs tended to incorporate self-selection and cater to the learner's contextual needs.Discussion:AHP knowledge is effectively improved through targeted education programs. To change AHP behavior and patient outcomes, it seems important to incorporate self-selection for the program and consider the learner's individual needs and contexts through mentoring, outreach visits, reflection, and incorporating patient participation in the learning. © 2023 Lippincott Williams and Wilkins. All rights reserved.","Review","Final","","Scopus","2-s2.0-85160878051"
"Kolomitro K.; Soleas E.; Steinert Y.","Kolomitro, Klodiana (55027312500); Soleas, Eleftherios (57142409300); Steinert, Yvonne (7003537985)","55027312500; 57142409300; 7003537985","Developing Faculty Developers: An Underexplored Realm in Professional Development","2024","Journal of Continuing Education in the Health Professions","44","2","","E1","E5","4","0","10.1097/CEH.0000000000000516","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194351364&doi=10.1097%2fCEH.0000000000000516&partnerID=40&md5=031598db68b5c8ba2aa262833250c7d7","Education Development, Office of Professional Development and Educational Scholarship, Faculty of Health Sciences, Queen's University, Kingston, ON, Canada; Development and Educational Scholarship, Faculty of Health Sciences, Queen's University, Kingston, ON, Canada; Family Medicine and Health Sciences Education, Richard and Sylvia Cruess Chair in Medical Education, Faculty of Medicine and Health Sciences, McGill University, Montreal, QC, Canada","Kolomitro K., Education Development, Office of Professional Development and Educational Scholarship, Faculty of Health Sciences, Queen's University, Kingston, ON, Canada; Soleas E., Development and Educational Scholarship, Faculty of Health Sciences, Queen's University, Kingston, ON, Canada; Steinert Y., Family Medicine and Health Sciences Education, Richard and Sylvia Cruess Chair in Medical Education, Faculty of Medicine and Health Sciences, McGill University, Montreal, QC, Canada","As faculty developers enter the field and grow in their roles, how do they keep up with ongoing changes and ensure that their knowledge remains relevant and up-to-date? In contrast to most of the studies which focused on the needs of faculty members, we focus on the needs of those who fulfill the needs of others. We highlight the knowledge gap and lack of adaptation of the field to consider the issue of professional development of faculty developers more broadly by studying how they identify their knowledge gaps and what approaches they use to address those gaps. The discussion of this problem sheds light on the professional development of faculty developers and offers several implications for practice and research. Our own piece of the solution indicates that faculty developers follow a multimodal approach to the development of their knowledge, including formal and informal approaches to addressing perceived gaps. Within this multimodal approach, our results suggest that the professional growth and learning of faculty developers is best characterized as a social practice. Based on our research, it would seem worthwhile for those in the field to become more intentional about the professional development of faculty developers and harness aspects of social learning in that process to better reflect faculty developers' learning habits. We also recommend applying these aspects more broadly to, in turn, enhance the development of educational knowledge and educational practices for the faculty members these educators support. © 2024 Lippincott Williams and Wilkins. All rights reserved.","Article","Final","","Scopus","2-s2.0-85194351364"
